0	1	2	3	4
GSG1L	AC103801.2	PRR11	ZNF782	DEF8
GTF3C1	BBOX1	TLK2	HSD17B3	TCF25
IL4R	TCP11L1	CACNG5	PTCH1	FANCA
XPO6	FBXO3	METTL2A	ZNF510	MC1R
ATXN2L	FSHB	STRADA	ERCC6L2	C16orf3
KDM8	FIBIN	RPS6KB1	TGFBR1	PRDM7
CD19	TCP11L1	BRIP1	MURC	DBNDD1
SPNS1	MPPED2	YPEL2	TBC1D2	RP11-356C4.2
AQP8	CCDC34	RP11-51F16.8	CORO2A	AC133919.6
LAT	MPPED2	C17orf82	ZNF510	MC1R
GTF3C1	FBXO3	SCN4A	ZNF367	DBNDD1
BOLA2	AC132216.1	PTRH2	FAM22G	TCF25
ERN 2.00	CD59	DDX5	HABP4	AC133919.6
ERN 2.00	TCP11L1	CTD-2510F5.6	ZNF510	FANCA
KIAA0556	LMO2	DDX5	MURC	SPIRE2
NFATC2IP	WT1	CACNG5	ZNF367	CENPBD1
NSMCE1	ELP4	DDX42	ANKS6	PRDM7
CACNG3	ELP4	PRKCA	ERCC6L2	TCF25
IL27	AC103801.2	C17orf82	C9orf156	TCF25
HS3ST4	MUC15	GNA13	ERP44	CENPBD1
CD19	ANO5	PRR11	KRT8P11	FANCA
SH2B1	FANCF	RGS9	ANKS6	PRDM7
SULT1A1	CSTF3	TEX2	NCBP1	RP11-356C4.2
EIF3CL	QSER1	TEX2	TBC1D2	DBNDD1
CCDC101	IMMP1L	CEP112	TRIM14	TCF25
LCMT1	PRRG4	C17orf72	TSTD2	C16orf3
ZKSCAN2	CD59	BRIP1	FANCC	MC1R
SBK1	BBOX1	SMG8	SLC35D2	PRDM7
LAT	DNAJC24	RP11-178C3.1	HABP4	RP11-356C4.2
SLC5A11	ELF5	CD79B	ANP32B	C16orf3
DCTN5	CAT	CA4	FANCC	TCF25
EIF3CL	FBXO3	DHX40	HABP4	FANCA
LCMT1	PRRG4	SMURF2	MSANTD3-TMEFF1	DBNDD1
SPNS1	LGR4	PTRH2	ANP32B	RP11-356C4.2
EIF3CL	SVIP	SMG8	LPPR1	TCF25
BOLA2	FBXO3	RGS9	GALNT12	DEF8
KDM8	LMO2	TANC2	COL15A1	RP11-356C4.2
RBBP6	FBXO3	C17orf82	AAED1	GAS8
EIF3CL	FANCF	RAD51C	ANP32B	AC133919.6
EIF3C	NAT10	PPM1E	NCBP1	PRDM7
KDM8	PAX6	SCN4A	SLC35D2	FANCA
PALB2	SLC5A12	APPBP2	MURC	RP11-356C4.2
NUPR1	FANCF	TEX2	BAAT	CENPBD1
IL27	CSTF3	STRADA	TMOD1	SPIRE2
LAT	IMMP1L	TUBD1	NCBP1	C16orf3
ERN 2.00	RP11-17A1.2	C17orf72	MRPL50	CENPBD1
ZKSCAN2	DNAJC24	RPS6KB1	KRT8P11	DEF8
PALB2	CD59	NACA2	ANKS6	MC1R
TUFM	LIN7C	CYB561	ALG2	SPIRE2
XPO6	EHF	GDPD1	FOXE1	MC1R
CHP2	FIBIN	SKA2	STX17	DEF8
EIF3C	FANCF	TUBD1	TMEFF1	CENPBD1
XPO6	PAX6	ERN 1.00	HEMGN	SPIRE2
IL4R	FBXO3	GH2	MSANTD3	FANCA
ATXN2L	FANCF	METTL2A	NR4A3	FANCA
PALB2	KIAA1549L	GH1	NR4A3	DBNDD1
AQP8	HIPK3	NACA2	ANP32B	GAS8
NSMCE1	CSTF3	PTRH2	KRT8P11	MC1R
SH2B1	KIAA1549L	SKA2	COL15A1	CENPBD1
BOLA2	BBOX1	RP11-51F16.8	CTSL2	MC1R
EIF3CL	SLC17A6	TEX2	MRPL50	C16orf3
CACNG3	NAT10	MED13	FANCC	SPIRE2
SH2B1	DEPDC7	C17orf64	C9orf156	C16orf3
SLC5A11	SVIP	CCDC47	BAAT	RP11-356C4.2
EIF3C	FANCF	RPS6KB1	GALNT12	FANCA
NFATC2IP	HIPK3	C17orf64	C9orf174	C16orf3
SH2B1	CSTF3	CTD-2535L24.2	SLC35D2	AC133919.6
ERN 2.00	QSER1	HEATR6	TBC1D2	GAS8
GTF3C1	QSER1	POLG2	ANKS6	RP11-356C4.2
ERN 2.00	ANO3	RP11-51F16.8	AAED1	RP11-356C4.2
TNRC6A	CCDC34	CD79B	INVS	GAS8
PALB2	CCDC34	CEP112	NCBP1	GAS8
PRKCB	SLC5A12	STRADA	HSD17B3	GAS8
